nodeid,name,parentnodeid,nodetype,nodeclass,parentrelation,context,identifier,description
java:91,bloom-filter,java:808,concept,concept,subconcept of,java software programming,,bloom filter: java software programming: web programming
java:92,branches,java:864,concept,concept,subconcept of,subversion,,branches: subversion: web programming
java:93,bubble-sort,java:832,concept,concept,subconcept of,java software programming,,bubble sort: java software programming: web programming
java:94,bug-tracking,java:902,concept,concept,subconcept of,java software programming,,bug tracking: java software programming: web programming
java:95,bug-tracking,java:900,concept,concept,related,java software programming,,bug tracking: java software programming: web programming
java:96,bugfix,java:826,concept,concept,subconcept of,java software programming,,bugfix: java software programming: web programming
java:97,bugzilla,java:94,concept,concept,subconcept of,java software programming,,bugzilla: java software programming: web programming
java:98,build,java:557,concept,concept,subconcept of,java software programming,,build: java software programming: web programming
java:99,build-and-deployment,java:827,concept,concept,subconcept of,java software programming,,build and deployment: java software programming: web programming
java:100,build-file,java:18,concept,concept,related,java software programming,,build file: java software programming: web programming
java:101,build-lifecycle,java:98,concept,concept,subconcept of,maven java programming,,build lifecycle: maven java programming: web programming
java:102,build-phases,java:557,concept,concept,subconcept of,java software programming,,build phases: java software programming: web programming
java:103,build-phases,java:101,concept,concept,subconcept of,maven java programming,,build phases: maven java programming: web programming
java:104,build-profiles,java:557,concept,concept,subconcept of,java software programming,,build profiles: java software programming: web programming
java:105,build-profiles,java:669,concept,concept,subconcept of,maven java programming,,build profiles: maven java programming: web programming
java:106,build-tools,java:99,concept,concept,subconcept of,java software programming,,build tools: java software programming: web programming
java:107,builder,java:212,concept,concept,subconcept of,java software programming,,builder: java software programming: web programming
java:108,bulk-operations,java:357,concept,concept,subconcept of,java hibernate,,bulk operations: java hibernate: web programming
java:109,bytecode,java:147,concept,concept,subconcept of,java software programming,,bytecode: java software programming: web programming
java:110,c-header-generator,java:597,concept,concept,related,java software programming,,c header generator: java software programming: web programming
java:111,c++,java:903,concept,concept,subconcept of,java software programming,,c++: java software programming: web programming
java:112,c++,java:681,concept,concept,subconcept of,java software programming,,c++: java software programming: web programming
java:113,c++,java:388,concept,concept,subconcept of,java software programming,,c++: java software programming: web programming
java:114,c++-stl,java:523,concept,concept,subconcept of,java software programming,,c++ stl: java software programming: web programming
